flare_id,log,n_flashes,flare_len_s,beacon_id,night,since_dusk_s,glyph,shape_id,flourish,region,cluster,cluster_num,date_seen
FLR-04324,RIDGE,5,1.4492,0,,,5R3,,,R2,K,5,03/06/2012
FLR-04325,LAMP,5,0.3007732,2,N-045,5998.334,,2,0,,,,
FLR-04326,RIDGE,4,0.7272572,0,,,4R2,,,R1,A,1,02/03/2015
FLR-04327,LAMP,5,0.333625,2,N-029,605.9191,,4,0,,,,
FLR-04328,RIDGE,7,0.329,5151,,,7i,,,R1,U,11,01/02/2010
FLR-04329,RIDGE,4,0.5327,5130,,,4D,,,R1,F,3,15/02/2005
FLR-04330,LAMP,5,1.2662759,2,N-033,18417.4982,,2,0,,,,
FLR-04331,RIDGE,6,1.0217,0,,,6-SMUDGE,,,R2,P,7,05/03/2011
FLR-04332,RIDGE,5,0.977,0,,,1+1+3,,,R1,R,8,19/04/2008
FLR-04333,RIDGE,5,0.8372,5151,,,1+1+3,,,R1,U,11,26/03/2015
FLR-04334,RIDGE,5,0.337,5560,,,5R1,,,R1,F,3,23/01/2010
FLR-04335,RIDGE,9,0.1898,5703,,,9i,,,R1,F,3,23/01/2005
FLR-04336,RIDGE,5,1.3134689,0,,,1+1+3,,,R1,J,4,10-04-2015
FLR-04337,LAMP,7,1.2454748,4,N-005,3293.4443,,7,0,,,,
FLR-04338,RIDGE,5,0.8129524,0,,,1+1+3,,,R1,A,1,02/03/2015
FLR-04339,RIDGE,5,0.337,0,,,5R1,,,R1,V,12,03/02/2010
FLR-04340,RIDGE,5,0.7051,6035,,,1+1+3,,,R1,U,11,11/02/2010
FLR-04341,LAMP,8,0.7062325,2,N-046,9440.6544,,13,0,,,,
FLR-04342,LAMP,5,0.3222657,2,N-025,15166.9788,,4,0,,,,
FLR-04343,RIDGE,5,0.343,0,,,5R1,,,R1,V,12,03/02/2010
FLR-04344,RIDGE,4,0.7769746,0,,,4R2,,,R1,A,1,02/03/2015
FLR-04345,RIDGE,5,0.3270083,5759,,,5R1,,,R1,S,9,29-04-2014
FLR-04346,RIDGE,5,0.284,0,,,5-SMUDGE,,,R1,U,11,16/02/2009
FLR-04347,RIDGE,5,0.9870084,5586,,,1+1+3,,,R1,A,1,02-03-2015
FLR-04348,RIDGE,5,1.2431916,0,,,1+1+3,,,R1,F,3,31/03/2015
FLR-04349,RIDGE,5,0.8635,0,,,1+1+3,,,R1,J,4,04/05/2008
FLR-04350,RIDGE,5,0.995,0,,,1+1+3,,,R1,T,10,14/04/2010
FLR-04351,RIDGE,5,1.2012,0,,,1+1+3,,,R1,F,3,04/03/2010
FLR-04352,LAMP,4,0.7663,1,N-034,10067.0455,,0,0,,,,
FLR-04353,LAMP,5,1.109975,2,N-014,628.2929,,2,0,,,,
FLR-04354,RIDGE,5,0.8468334,5586,,,1+1+3,,,R1,A,1,02-03-2015
FLR-04355,RIDGE,5,0.3415,0,,,5R1,,,R1,U,11,16/02/2009
FLR-04356,RIDGE,5,0.818,0,,,1+1+3,,,R1,A,1,17/03/2010
FLR-04357,LAMP,4,0.8762039,2,N-003,17476.5072,,0,0,,,,
FLR-04358,RIDGE,7,0.3085134,0,,,7i,,,R1,J,4,13-05-2016
FLR-04359,RIDGE,5,0.349,0,,,5R1,,,R1,V,12,26/01/2010
FLR-04360,LAMP,4,1.1430333,1,N-035,30937.8553,,0,0,,,,
FLR-04361,RIDGE,5,0.52,5151,,,5R2,,,R1,U,11,18/02/2009
FLR-04362,LAMP,5,0.4946773,2,N-013,20617.5416,,4,0,,,,
FLR-04363,LAMP,23,1.323775,2,N-024,7463.6857,,17,0,,,,
FLR-04364,RIDGE,5,0.3260834,5987,,,5R1,,,R1,J,4,12-05-2016
FLR-04365,LAMP,5,1.2504167,1,N-002,13922.022,,2,0,,,,
FLR-04366,LAMP,5,0.774373,2,N-002,14532.3654,,2,0,,,,
FLR-04367,RIDGE,5,1.3826065,5586,,,5-SMUDGE,,,R1,A,1,02/03/2015
FLR-04368,RIDGE,4,0.4037675,0,,,4R1,,,R1,U,11,26/03/2015
FLR-04369,RIDGE,6,0.4112,6058,,,6i,,,R1,U,11,24/01/2010
FLR-04370,LAMP,5,1.210559,2,N-011,98.6152,,2,0,,,,
FLR-04371,RIDGE,8,1.8733,0,,,8-SMUDGE,,,R2,P,7,25/04/2008
FLR-04372,LAMP,5,1.2502417,1,N-019,3872.9333,,2,0,,,,
FLR-04373,RIDGE,7,0.292,0,,,7i,,,R1,N,6,02/04/2010
FLR-04374,LAMP,5,0.9929262,2,N-009,890.604,,2,0,,,,
FLR-04375,LAMP,4,1.510241,4,N-006,8813.5369,,0,0,,,,
FLR-04376,RIDGE,5,0.27,0,,,5R1,,,R1,A,1,25/03/2008
